response_id,park_name,visit_frequency,activity,age_group,satisfaction,would_recommend,time_of_visit
R001,central_park,weekly,walking,adult,very_satisfied,yes,morning
R002,central_park,daily,jogging,adult,satisfied,yes,morning
R003,central_park,monthly,picnic,family,very_satisfied,yes,afternoon
R004,central_park,weekly,playground,family,satisfied,yes,afternoon
R005,central_park,daily,dog_walking,senior,very_satisfied,yes,morning
R006,riverside_park,weekly,biking,adult,satisfied,yes,evening
R007,riverside_park,monthly,fishing,adult,neutral,maybe,morning
R008,riverside_park,weekly,walking,senior,very_satisfied,yes,morning
R009,riverside_park,daily,jogging,adult,satisfied,yes,evening
R010,riverside_park,weekly,picnic,family,very_satisfied,yes,afternoon
R011,hilltop_park,monthly,hiking,adult,very_satisfied,yes,morning
R012,hilltop_park,weekly,nature_viewing,senior,satisfied,yes,morning
R013,hilltop_park,monthly,picnic,family,satisfied,yes,afternoon
R014,hilltop_park,rarely,hiking,adult,neutral,maybe,afternoon
R015,hilltop_park,weekly,dog_walking,adult,satisfied,yes,evening
R016,central_park,weekly,sports,teen,satisfied,yes,afternoon
R017,central_park,daily,walking,senior,very_satisfied,yes,morning
R018,central_park,monthly,events,family,very_satisfied,yes,evening
R019,riverside_park,weekly,playground,family,satisfied,yes,afternoon
R020,riverside_park,daily,walking,adult,satisfied,yes,morning
R021,hilltop_park,weekly,nature_viewing,adult,very_satisfied,yes,morning
R022,central_park,monthly,sports,adult,satisfied,yes,evening
R023,riverside_park,weekly,biking,teen,satisfied,yes,afternoon
R024,hilltop_park,monthly,hiking,family,very_satisfied,yes,morning
R025,central_park,weekly,playground,family,very_satisfied,yes,afternoon
