attendance_id,member_id,program,date,age,gender,transportation_needed,meal_served
A001,M001,fitness,2024-02-01,72,F,no,yes
A002,M002,arts,2024-02-01,68,M,yes,yes
A003,M003,fitness,2024-02-01,75,F,no,yes
A004,M004,technology,2024-02-01,70,M,yes,no
A005,M005,social,2024-02-01,78,F,yes,yes
A006,M001,arts,2024-02-02,72,F,no,yes
A007,M006,fitness,2024-02-02,69,M,no,yes
A008,M007,technology,2024-02-02,74,F,yes,no
A009,M008,social,2024-02-02,82,M,yes,yes
A010,M002,fitness,2024-02-02,68,M,yes,yes
A011,M009,arts,2024-02-03,71,F,no,yes
A012,M010,fitness,2024-02-03,77,M,yes,yes
A013,M003,technology,2024-02-03,75,F,no,no
A014,M011,social,2024-02-03,80,F,yes,yes
A015,M004,arts,2024-02-03,70,M,yes,yes
A016,M012,fitness,2024-02-04,66,F,no,yes
A017,M005,technology,2024-02-04,78,F,yes,no
A018,M013,social,2024-02-04,73,M,no,yes
A019,M006,arts,2024-02-04,69,M,no,yes
A020,M014,fitness,2024-02-04,79,F,yes,yes
A021,M007,social,2024-02-05,74,F,yes,yes
A022,M015,fitness,2024-02-05,67,M,no,yes
A023,M008,arts,2024-02-05,82,M,yes,yes
A024,M016,technology,2024-02-05,71,F,no,no
A025,M009,fitness,2024-02-05,71,F,no,yes
