voter_id,precinct,district,age_group,registration_year,voted_last_election,party_affiliation
V00001,precinct_42,district_7,25-34,2020,yes,democrat
V00002,precinct_42,district_7,35-44,2018,yes,republican
V00003,precinct_42,district_7,45-54,2016,yes,independent
V00004,precinct_42,district_7,18-24,2022,no,democrat
V00005,precinct_42,district_7,55-64,2012,yes,republican
V00006,precinct_42,district_7,65+,2008,yes,democrat
V00007,precinct_42,district_7,25-34,2020,yes,independent
V00008,precinct_42,district_7,35-44,2019,no,democrat
V00009,precinct_42,district_7,45-54,2016,yes,republican
V00010,precinct_42,district_7,18-24,2023,no,democrat
V00011,precinct_43,district_7,55-64,2014,yes,independent
V00012,precinct_43,district_7,65+,2006,yes,republican
V00013,precinct_43,district_7,25-34,2021,yes,democrat
V00014,precinct_43,district_7,35-44,2018,yes,democrat
V00015,precinct_43,district_7,45-54,2015,no,republican
V00016,precinct_43,district_7,18-24,2022,yes,independent
V00017,precinct_43,district_7,55-64,2010,yes,democrat
V00018,precinct_43,district_7,65+,2004,yes,republican
V00019,precinct_43,district_7,25-34,2020,yes,democrat
V00020,precinct_43,district_7,35-44,2017,no,independent
V00021,precinct_44,district_8,45-54,2016,yes,republican
V00022,precinct_44,district_8,18-24,2023,yes,democrat
V00023,precinct_44,district_8,55-64,2012,yes,democrat
V00024,precinct_44,district_8,65+,2008,yes,republican
V00025,precinct_44,district_8,25-34,2021,no,independent
V00026,precinct_44,district_8,35-44,2019,yes,democrat
V00027,precinct_44,district_8,45-54,2014,yes,republican
V00028,precinct_44,district_8,18-24,2022,no,democrat
V00029,precinct_44,district_8,55-64,2010,yes,independent
V00030,precinct_44,district_8,65+,2006,yes,republican
