epsilon,true_value,noisy_value,threshold,decision,flip_flag,community_id
0.5,567,498,500,denied,1,elementary_school_oak
0.5,567,634,500,approved,0,elementary_school_oak
0.5,567,478,500,denied,1,elementary_school_oak
0.5,567,656,500,approved,0,elementary_school_oak
0.5,567,512,500,approved,0,elementary_school_oak
1.0,567,534,500,approved,0,elementary_school_oak
1.0,567,589,500,approved,0,elementary_school_oak
1.0,567,523,500,approved,0,elementary_school_oak
1.0,567,612,500,approved,0,elementary_school_oak
1.0,567,556,500,approved,0,elementary_school_oak
1.5,567,556,500,approved,0,elementary_school_oak
1.5,567,578,500,approved,0,elementary_school_oak
1.5,567,545,500,approved,0,elementary_school_oak
1.5,567,589,500,approved,0,elementary_school_oak
1.5,567,562,500,approved,0,elementary_school_oak
2.0,567,562,500,approved,0,elementary_school_oak
2.0,567,572,500,approved,0,elementary_school_oak
2.0,567,558,500,approved,0,elementary_school_oak
2.0,567,576,500,approved,0,elementary_school_oak
2.0,567,565,500,approved,0,elementary_school_oak
3.0,567,566,500,approved,0,elementary_school_oak
3.0,567,568,500,approved,0,elementary_school_oak
3.0,567,566,500,approved,0,elementary_school_oak
3.0,567,568,500,approved,0,elementary_school_oak
3.0,567,567,500,approved,0,elementary_school_oak
